artist,song,duration_ms,year,genre,danceability
Britney Spears,Oops!...I Did It Again,211160,2000,pop,0.751
blink-182,All The Small Things,167066,1999,rock; pop,0.434
Faith Hill,Breathe,250546,1999,pop; country,0.529
Bon Jovi,It's My Life,224493,2000,rock; metal,0.551
*NSYNC,Bye Bye Bye,200560,2000,pop,0.614
Sisqo,Thong Song,253733,1999,hip hop; pop; R&B,0.706
Eminem,The Real Slim Shady,284200,2000,hip hop,0.949
Robbie Williams,Rock DJ,258560,2000,pop; rock,0.708
Destiny's Child,Say My Name,271333,1999,pop; R&B,0.713
Modjo,Lady - Hear Me Tonight,307153,2001,Dance/Electronic,0.72
Gigi D'Agostino,L'Amour Toujours,238759,2011,pop,0.617
Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,268863,1999,pop,0.745
Bomfunk MC's,Freestyler,306333,2000,pop,0.822
Sting,Desert Rose,285960,1999,rock; pop,0.586
Melanie C,Never Be The Same Again,294200,1999,pop; Dance/Electronic,0.689
Aaliyah,Try Again,284000,2002,hip hop; pop; R&B,0.797
Anastacia,I'm Outta Love - Radio Edit,245400,1999,pop,0.761
Alice Deejay,Better Off Alone,214883,2000,pop,0.671
Gigi D'Agostino,The Riddle,285426,1999,pop,0.74
Dr. Dre,The Next Episode,161506,1999,hip hop,0.922
Linkin Park,In the End,216880,2000,rock; metal,0.556
Tom Jones,Sexbomb,211893,1999,rock; Folk/Acoustic; easy listening,0.801
Sonique,It Feels So Good,240866,2000,pop,0.634
M.O.P.,Cold as Ice,244466,2000,hip hop,0.656
Melanie C,I Turn To You,352173,1999,pop; Dance/Electronic,0.522
Limp Bizkit,Take A Look Around,321040,2000,metal,0.425
Darude,Sandstorm,225493,2001,pop; Dance/Electronic,0.528
Da Brat,What'chu Like (feat. Tyrese),221160,2000,hip hop; pop; R&B,0.879
Moloko,The Time Is Now,318280,2000,pop; Dance/Electronic,0.682
Chicane,Don't Give Up,210786,2016,Dance/Electronic,0.644
DMX,Party Up,268866,1999,hip hop; pop,0.51
Debelah Morgan,Dance with Me,220106,2000,pop; R&B,0.85
Madonna,Music,225973,2000,pop,0.736
Ruff Endz,No More,242560,2000,R&B,0.839
Britney Spears,Born to Make You Happy,243533,1999,pop,0.633
Montell Jordan,Get It On Tonite,276266,1999,hip hop; pop; R&B,0.813
Kylie Minogue,Spinning Around,207866,2000,pop; Dance/Electronic,0.761
JAY-Z,Big Pimpin',283066,1999,hip hop,0.88
